"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.25,0.5,0.5,0.3,0,0,0,0,0,1,0.125,0,0.125,1,0.125,"NoV",0.425503755406314,0.035142267914714,1,0.395808112246496,0.0346304227399731,1,0.237958962117997,0.0346955086435943,1,0.425509919255017,0.0351593868960323,1,-0.00287070151919545,0.0351807408722191,0.049,0.395817209288085,0.0346475113033517,1,0.237943278095331,0.0347137215507214,1,-0.00290297810426634,0.0343973840724543,0.0500000000000001,0.0347036670315298,0.0339303169069869,0.0345937174488985,0.0347767496470556,0.0354482360845326,0.0340024755226567,0.0345807397007714,0.0344567951976355,0.125503755406314,0.0958081122464956,0.125509919255017,0.0958172092880845,"sim","classical","norm",NA,1000,1000,314
0.25,0.7,0.5,0.3,0,0,0,0,0,1,0.175,0,0.175,1,0.125,"NoV",0.424400744677734,0.035163591955334,1,0.365108142396763,0.0340806400722387,1,0.339431082687432,0.0341041520062363,1,0.424342351957209,0.0351812040986468,1,-0.00228948767731736,0.0351888682367221,0.038,0.365061068816948,0.0340974191114053,1,0.339448086987557,0.0341221911026493,1,-0.00253663017648445,0.0335787430873801,0.041,0.034196590689637,0.0334325193872652,0.0344966063782764,0.0342120901712811,0.0349044715048534,0.0334341983561686,0.0345107261362134,0.0333889031818821,0.124400744677734,0.0651081423967632,0.124342351957209,0.0650610688169485,"sim","classical","norm",NA,1000,1000,314
0.25,0.9,0.5,0.3,0,0,0,0,0,1,0.225,0,0.225,1,0.125,"NoV",0.424965720404593,0.035182506827047,1,0.324708193662634,0.0332460709526878,1,0.445824723644813,0.0332242042036856,1,0.424964075713336,0.0351997301975901,1,0.000151133753643046,0.0351690409898437,0.052,0.324726966113273,0.033262374292464,1,0.445791088918838,0.0332398650510893,1,0.000487279461862838,0.0323841733565164,0.0509999999999999,0.0343970618468523,0.0330583223648248,0.032728721048494,0.0344299910106926,0.0362675394427318,0.0330745108130808,0.0326991004247128,0.0331308115585561,0.124965720404593,0.0247081936626345,0.124964075713336,0.0247269661132727,"sim","classical","norm",NA,1000,1000,314
0.3,0.1,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.15,"NoV",0.450099159007291,0.0350610879344083,1,0.448716200390031,0.0350644623305339,1,0.0461511563181494,0.0350622479403586,0.245,0.450100321113593,0.0350796319102092,1,0.000908245031589133,0.0350224994529791,0.04,0.448713895039719,0.0350830624599073,1,0.0461752305458071,0.0350815990352064,0.248,0.00088843601623155,0.0350101457120679,0.039,0.0349224453563869,0.0350690612255112,0.0343592624160504,0.0349205059641293,0.0332587353431979,0.0350687407455189,0.0343792759457914,0.0332730310652795,0.150099159007291,0.148716200390031,0.150100321113593,0.148713895039719,"sim","classical","norm",NA,1000,1000,314
0.3,0.3,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.15,"NoV",0.44948804664743,0.0351116876150436,1,0.437156036797007,0.0349992950483598,1,0.13787336579326,0.034925629333238,0.982,0.44950147886209,0.035130218428214,1,-0.000879321312482687,0.0350755732972677,0.049,0.437173259091756,0.0350177452257398,1,0.137862187624266,0.0349428445321056,0.98,-0.000840480259517905,0.0348219391807087,0.045,0.0364206888865979,0.0361326276825801,0.0342663164993859,0.0364172429154308,0.0342285005145739,0.0361229934336141,0.0342499007112847,0.0339059736818921,0.14948804664743,0.137156036797007,0.149501478862091,0.137173259091756,"sim","classical","norm",NA,1000,1000,314
0.3,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0,0.15,1,0.15,"NoV",0.449528388524847,0.0351000316246907,1,0.414828075470967,0.0347371465382937,1,0.23282053033517,0.0347118478278893,1,0.449507741725782,0.0351147395754004,1,-0.00092106302811312,0.0351164804600045,0.062,0.414808379167455,0.0347517112575171,1,0.232814595482471,0.0347288113711143,1,-0.00108509665931068,0.0343674932595119,0.058,0.0351921020938217,0.034433856336162,0.0353857610945862,0.0352338096946528,0.0364331553597792,0.0344675063443802,0.0354709878976879,0.0356806831813308,0.149528388524847,0.114828075470967,0.149507741725782,0.114808379167455,"sim","classical","norm",NA,1000,1000,314
0.3,0.7,0.5,0.3,0,0,0,0,0,1,0.21,0,0.21,1,0.15,"NoV",0.450070056254877,0.0351077370868089,1,0.379228415032755,0.0343422156065758,1,0.334005491688468,0.0342799262182181,1,0.450001968403619,0.0351244284549301,1,0.000127819064637521,0.0351087118378867,0.0580000000000001,0.379163040538923,0.0343584751676368,1,0.334020378145892,0.0342981395515853,1,0.000338021669832438,0.0335664274184159,0.053,0.0350921800471717,0.0346599312972152,0.0342588308056489,0.035132467186628,0.0352684682713984,0.0346872235288956,0.0342590064601234,0.0337675190407521,0.150070056254877,0.0792284150327551,0.150001968403619,0.0791630405389231,"sim","classical","norm",NA,1000,1000,314
0.3,0.9,0.5,0.3,0,0,0,0,0,1,0.27,0,0.27,1,0.15,"NoV",0.450089090593584,0.0350575773072821,1,0.33113732291166,0.0336335622421993,1,0.441104088458873,0.0336152626744438,1,0.450136367736076,0.0350753861066292,1,-0.000864580504259363,0.0350508198509505,0.05,0.331185754214087,0.0336505239752343,1,0.441104741571157,0.033631412151625,1,-0.000847026123540643,0.0323820061272939,0.041,0.0356030051752292,0.0343755880462193,0.0345217049979507,0.0355523168003143,0.0355041185222825,0.0343032023467843,0.0344938162211366,0.0328771351113568,0.150089090593584,0.0311373229116603,0.150136367736076,0.0311857542140868,"sim","classical","norm",NA,1000,1000,314
0.35,0.1,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.175,"NoV",0.474147519352403,0.0349390265552743,1,0.472544550057223,0.0349498143033333,1,0.0453620222681441,0.0349607621945636,0.25,0.474172297384876,0.034955396707391,1,-0.000388430038616436,0.0350140837688738,0.0509999999999999,0.472572205835015,0.0349662472222833,1,0.0453373346236679,0.0349784417289536,0.252,-0.000384626814934642,0.0350034891260253,0.053,0.034616915794709,0.0346481518040229,0.0338447454586103,0.0346046313460764,0.0352074077336368,0.0346374807075637,0.0338592930934339,0.0351694038932744,0.174147519352403,0.172544550057223,0.174172297384876,0.172572205835015,"sim","classical","norm",NA,1000,1000,314
0.35,0.3,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.175,"NoV",0.474955684990317,0.0349252241165456,1,0.460998031256515,0.0348867252247678,1,0.132155236703314,0.0348967173492866,0.967,0.474988210823174,0.0349399630541268,1,-3.26903835489577e-05,0.0349718817320426,0.064,0.46103708029028,0.0349013353812976,1,0.132146415326679,0.0349117346608189,0.967,-0.000112359406156703,0.0347398202432219,0.068,0.0351194118013141,0.0349109011955715,0.0346084575912727,0.0352105377362476,0.0368854283154627,0.0350069671454438,0.0346281271360247,0.0366484748228026,0.174955684990317,0.160998031256515,0.174988210823174,0.16103708029028,"sim","classical","norm",NA,1000,1000,314
