"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.15,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.015,0,0.015,1,0.075,0.955,0.0785340314136126,0.955,0.0785340314136126,"NoV_WithX",0.378320115671845,0.036165259441886,1,0.377451491947008,0.0361545298489494,1,0.0490474470859801,0.0353288662157156,0.272,0.37827222666317,0.0361836779331201,1,0.00211691491575937,0.0354009260969637,0.059,0.377402016551216,0.0361729058179838,1,0.0491154940200683,0.0353467973939345,0.27,0.00220538637615265,0.0353860394520972,0.059,0.0367176257141527,0.0367349421861693,0.0343414914961072,0.0367347943973943,0.0354578142828988,0.0367519267812723,0.0343006252487991,0.0354715630735566,0.0783201156718449,0.0774514919470081,0.0782722266631705,0.077402016551216,"sim","classical","norm",NA,1000,1000,314
0.15,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.045,0,0.045,1,0.075,0.955,0.0785340314136126,0.955,0.0785340314136126,"NoV_WithX",0.378607962494263,0.0361490162362467,1,0.371664183490387,0.0358988161392009,1,0.145191707407135,0.0350744126885424,0.986,0.378611398396844,0.0361658502924893,1,-0.000714164076885578,0.0353363015901136,0.052,0.371665175476222,0.0359153027858117,1,0.145230415881671,0.0350911102742888,0.986,-0.000869286617357833,0.0350531046129748,0.053,0.0360398797883144,0.0358878897539159,0.0351215898595539,0.0360525682439943,0.0356082521006481,0.0359027312009209,0.0351528640556521,0.0355262543330812,0.0786079624942635,0.0716641834903866,0.078611398396844,0.0716651754762215,"sim","classical","norm",NA,1000,1000,314
0.15,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.075,0,0.075,1,0.075,0.955,0.0785340314136126,0.955,0.0785340314136126,"NoV_WithX",0.378445949292364,0.0361904593243027,1,0.358801319885296,0.0354296965311818,1,0.245947176865914,0.034584262269453,1,0.378417983123674,0.0362088018510576,1,-0.00265756412378671,0.0354029125093564,0.047,0.358772882918719,0.0354475730177954,1,0.24598351061696,0.0346029537084689,1,-0.00256492064541658,0.0345549548647098,0.048,0.0377654213930371,0.0371388871422746,0.0342938598910008,0.0377605486452408,0.0353674417467877,0.0371357548740226,0.0343073446130806,0.0346990492966763,0.0784459492923635,0.0588013198852959,0.0784179831236736,0.0587728829187187,"sim","classical","norm",NA,1000,1000,314
0.15,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.105,0,0.105,1,0.075,0.955,0.0785340314136126,0.955,0.0785340314136126,"NoV_WithX",0.38086372297499,0.0361896127504959,1,0.342315033631444,0.0346434678151982,1,0.346449488141919,0.0338315802586451,1,0.380842181873168,0.0362064485006482,1,0.00212859754759796,0.0353309980202545,0.0589999999999999,0.342292876955919,0.0346594776114033,1,0.346463117032413,0.0338486958816506,1,0.00250464161350155,0.0336221466793397,0.063,0.0370081485356746,0.0350861346465827,0.0344557753026918,0.0370270279218231,0.0361815066937857,0.035116584471156,0.0344506989123926,0.0344844435612526,0.0808637229749905,0.0423150336314443,0.0808421818731676,0.0422928769559187,"sim","classical","norm",NA,1000,1000,314
0.15,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.135,0,0.135,1,0.075,0.955,0.0785340314136126,0.955,0.0785340314136126,"NoV_WithX",0.376103037273717,0.0361939626960352,1,0.313302778956492,0.0335402010168163,1,0.448340245523313,0.0327747890989226,1,0.376085485954456,0.0362110165453995,1,-0.00048974260240855,0.0353561008137287,0.059,0.313297971119558,0.0335554752799079,1,0.448349168228444,0.032789593448157,1,-0.00093857713079142,0.0324531347073066,0.056,0.0363543290625924,0.0337967095150452,0.0332173560613103,0.0363975660256487,0.0368155838379746,0.0338565126711444,0.0332611981499453,0.0341124125239955,0.0761030372737168,0.0133027789564923,0.0760854859544564,0.0132979711195584,"sim","classical","norm",NA,1000,1000,314
0.2,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.02,0,0.02,1,0.1,0.955,0.104712041884817,0.955,0.104712041884817,"NoV_WithX",0.407116380727217,0.0360924834258718,1,0.406053850067223,0.0360892495460207,1,0.0469957459389233,0.0352322409763843,0.26,0.407157704294816,0.0361122692973084,1,0.00139133071850014,0.0353077557832682,0.0420000000000001,0.406093846228707,0.0361090549027418,1,0.0469621661652925,0.0352502838263607,0.262,0.00130642682878495,0.0352945539926105,0.0429999999999999,0.0359562057778063,0.0360228227047364,0.0344820038978971,0.035973451783967,0.0348143253504078,0.036041659763518,0.0345348704541701,0.0347939992394607,0.107116380727217,0.106053850067223,0.107157704294816,0.106093846228707,"sim","classical","norm",NA,1000,1000,314
0.2,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.06,0,0.06,1,0.1,0.955,0.104712041884817,0.955,0.104712041884817,"NoV_WithX",0.40414020996638,0.0360737404105009,1,0.395101027997508,0.0358546522510287,1,0.144004218424348,0.0349952336005188,0.981,0.404137763929612,0.0360897957201136,1,-0.000604310550001595,0.0352489444427599,0.061,0.395097981521115,0.035871037752143,1,0.143922225254759,0.0350123286541347,0.981,-0.000646819015759257,0.034971484696641,0.054,0.0369159146830055,0.036697379732428,0.0349625051419757,0.0369152094383692,0.0369402639458799,0.0366901329082997,0.034989846174959,0.0363267093746162,0.10414020996638,0.0951010279975078,0.104137763929612,0.0950979815211154,"sim","classical","norm",NA,1000,1000,314
0.2,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0,0.1,1,0.1,0.955,0.104712041884817,0.955,0.104712041884817,"NoV_WithX",0.404858492997048,0.0361691612558569,1,0.379116690343109,0.0355051688925771,1,0.244045002078102,0.0346628965250998,1,0.40484767738906,0.0361872397311795,1,-0.00032931342397116,0.0353420535126996,0.043,0.379109300399846,0.0355228240969032,1,0.244045768345848,0.0346813593188947,1,-0.000113124765188613,0.0345112112489722,0.044,0.0346461724886549,0.0340536284878842,0.0346284613997035,0.0347666717139837,0.0350579297375061,0.034167814927342,0.0346267104022776,0.034183988248413,0.104858492997048,0.0791166903431094,0.10484767738906,0.0791093003998464,"sim","classical","norm",NA,1000,1000,314
0.2,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.14,0,0.14,1,0.1,0.955,0.104712041884817,0.955,0.104712041884817,"NoV_WithX",0.404427515286064,0.036124741935387,1,0.354423222431462,0.0347775004958354,1,0.342907327055502,0.0339811518903601,1,0.404418357819315,0.0361413814994353,1,0.00143455965463385,0.035315324167091,0.055,0.354406808657364,0.0347928517377038,1,0.342953145605404,0.0339957956287039,1,0.00112243152984637,0.0336493958258005,0.06,0.0359352349165203,0.0343978170520514,0.0359339844999105,0.0359254105603018,0.0361321064478841,0.0343972276700141,0.0359522642712941,0.0350816734698178,0.104427515286064,0.0544232224314616,0.104418357819315,0.0544068086573642,"sim","classical","norm",NA,1000,1000,314
0.2,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.18,0,0.18,1,0.1,0.955,0.104712041884817,0.955,0.104712041884817,"NoV_WithX",0.403478630163082,0.0361093057263939,1,0.319257240410273,0.0337488023102727,1,0.448383962838082,0.0329729463377396,1,0.403421176739267,0.0361276563792718,1,-0.000767268220743367,0.0353177575110834,0.0500000000000001,0.319229329816493,0.0337660814543625,1,0.448319868514719,0.0329877097764771,1,-0.000413011705582053,0.0324488737665127,0.056,0.03537339132578,0.0338755953861281,0.0338760121885355,0.0354016924297522,0.0365773012734871,0.0338980009488483,0.0339438427379979,0.0332579601582841,0.103478630163082,0.0192572404102734,0.103421176739267,0.0192293298164928,"sim","classical","norm",NA,1000,1000,314
