"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.25,0.5,0.5,0.3,0,0,0,0,0,1,0.125,0,0.125,1,0.125,"D0",0.434751296944804,0.0358797754203491,1,0.401418485330346,0.0353398735443139,1,0.248443504338561,0.0349615048094523,0.998,0.434790253602685,0.0358961157126335,1,0.00204045499775869,0.0348472511926731,0.062,0.401435234899653,0.0353558627680383,1,0.248472621078564,0.0349764731895914,0.998,0.00234636350789246,0.034011027975747,0.064,0.0412286914625585,0.0382391606801557,0.0487473065331439,0.0412355422859093,0.036995495935078,0.0382495465681256,0.0487334571725576,0.036306084764746,0.134751296944804,0.101418485330346,0.134790253602685,0.101435234899653,"sim","classical","t",3,1000,1000,314
0.25,0.7,0.5,0.3,0,0,0,0,0,1,0.175,0,0.175,1,0.125,"D0",0.433144330217986,0.0354955493628221,1,0.36874343366632,0.0343682312819584,1,0.347204336506445,0.0339383248738204,1,0.433160045651539,0.0355135462074295,1,-0.000263648802931476,0.0346147527609133,0.039,0.368782931258429,0.0343851350075134,1,0.347219416622864,0.0339562026705555,1,-0.00025118405198005,0.0329419015660646,0.043,0.0420783774532774,0.0367690114720535,0.0483299251199176,0.0421190518409067,0.034634871574353,0.0368056180440883,0.0483602997273081,0.0330817530160584,0.133144330217986,0.0687434336663198,0.133160045651539,0.0687829312584291,"sim","classical","t",3,1000,1000,314
0.25,0.9,0.5,0.3,0,0,0,0,0,1,0.225,0,0.225,1,0.125,"D0",0.430627125687806,0.0357876209556534,0.999,0.325619499417672,0.0338364910388988,0.999,0.446015592183189,0.0331352234783175,1,0.43061303914439,0.0358063005658757,0.999,0.000322210149403076,0.0350318865254686,0.039,0.32560210323459,0.0338538640584055,0.999,0.446019009511404,0.0331508772693795,1,0.000559898619712449,0.0322135309811699,0.048,0.0416336781133787,0.0348210344086763,0.0412262117002567,0.0416606225021826,0.0345728573423983,0.0348367407104447,0.041194597029005,0.0319801418971249,0.130627125687806,0.0256194994176723,0.13061303914439,0.0256021032345903,"sim","classical","t",3,1000,1000,314
0.3,0.1,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.15,"D0",0.457848538535837,0.0353096690288105,1,0.456310895532074,0.0353110524377585,1,0.0486945851933964,0.0353842020771488,0.275,0.457798238538593,0.0353270021589146,1,-0.000397437108103872,0.0345202172088627,0.066,0.456259288383604,0.035328396511873,1,0.0487002431910155,0.0354004960586611,0.273999999999999,-0.000423048262410055,0.034504488600552,0.063,0.0429314363993212,0.0427964068327857,0.0366071430211919,0.0429607618230348,0.0355900627658243,0.0428202226013508,0.0365877080947658,0.0355528899603447,0.157848538535837,0.156310895532074,0.157798238538593,0.156259288383604,"sim","classical","t",3,1000,1000,314
0.3,0.3,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.15,"D0",0.458121143739259,0.035669005054556,1,0.444580533232954,0.0355578470907432,1,0.143252991664879,0.0355260707352896,0.968,0.458091376928136,0.0356869947719222,1,-0.000257027767634618,0.0348269148467287,0.06,0.444545048150279,0.0355759492137991,1,0.143260644409025,0.0355446820176305,0.969,-0.000255771659547409,0.0345607995063001,0.063,0.0446921990101952,0.0439743022715215,0.0451884035296163,0.0447269080272598,0.0347839574148428,0.0439974828848836,0.0451148692955243,0.0344462482367489,0.158121143739259,0.144580533232954,0.158091376928136,0.144545048150279,"sim","classical","t",3,1000,1000,314
0.3,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0,0.15,1,0.15,"D0",0.458683853923683,0.0356082283173759,1,0.419924596868382,0.0352310952752199,1,0.244654964264269,0.0349944182715445,1,0.458746663554652,0.0356270978598199,1,-0.000730095727808249,0.0347295057124025,0.044,0.419972935649219,0.0352496012636618,1,0.244703172197548,0.035013477570318,1,-0.000916174184873482,0.033925688488882,0.036,0.0442836112150188,0.0411732089752661,0.0513398475781484,0.0442960556019686,0.0338732849209475,0.041193434444808,0.0513582077529597,0.0333741397959245,0.158683853923683,0.119924596868382,0.158746663554652,0.119972935649219,"sim","classical","t",3,1000,1000,314
0.3,0.7,0.5,0.3,0,0,0,0,0,1,0.21,0,0.21,1,0.15,"D0",0.455171967544131,0.0353348067043475,1,0.380466806352396,0.0345294127942883,1,0.340733818513967,0.0341793824952272,0.999,0.455127242671615,0.0353519767042553,1,-0.000847125641095327,0.0346726659569384,0.054,0.380418699791988,0.0345459870161239,1,0.340748444057611,0.0341963684572657,0.999,-0.000974986111203469,0.0330634198256808,0.055,0.0434021644876178,0.0378960531742008,0.0562260832456312,0.043413393634868,0.0355443605084875,0.0379064264464331,0.0562182713411118,0.0340498822809969,0.155171967544131,0.0804668063523962,0.155127242671615,0.0804186997919879,"sim","classical","t",3,1000,1000,314
0.3,0.9,0.5,0.3,0,0,0,0,0,1,0.27,0,0.27,1,0.15,"D0",0.458557366582524,0.0357137395016321,1,0.332075325580115,0.0343168463705477,1,0.442633952940085,0.0335544882153294,0.999,0.458570545469979,0.035731609302894,1,-0.00216847694619119,0.0349573810100854,0.046,0.332070685040884,0.034334104989677,1,0.442634367705589,0.0335709396653703,0.999,-0.00188523005407834,0.0322336207447851,0.0429999999999999,0.0426487949830151,0.0349667455955656,0.0406131655801128,0.0426553763324599,0.0348673485449936,0.0350055345875006,0.0406463996253834,0.0323414591201646,0.158557366582524,0.0320753255801154,0.158570545469979,0.0320706850408839,"sim","classical","t",3,1000,1000,314
0.35,0.1,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.175,"D0",0.483708240551735,0.0351396599102828,1,0.482000924905498,0.0351489379142178,1,0.0471018314963712,0.0352132273110111,0.276,0.48378748997852,0.0351582703705054,1,0.000850574362477079,0.0345161744411395,0.056,0.482083700974901,0.0351673523958512,1,0.0471000794044604,0.0352305340990833,0.278,0.000794860574013587,0.034501130754636,0.056,0.0477869793449079,0.0476187704406443,0.0372107467282359,0.0478011528140885,0.034435632930655,0.0476302792624038,0.0372832147852087,0.0344681450295232,0.183708240551735,0.182000924905498,0.18378748997852,0.182083700974901,"sim","classical","t",3,1000,1000,314
0.35,0.3,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.175,"D0",0.486513406945708,0.0352760177851509,1,0.47147089212968,0.0352396219650036,1,0.13809870927578,0.0351527821480643,0.965,0.486491802161937,0.035293998035184,1,-6.09882209865123e-05,0.0345453283012427,0.048,0.4714465294571,0.0352577095216246,1,0.138111909047499,0.035171987846552,0.966,0.000112602064543586,0.0342987720301817,0.047,0.0473980894870963,0.0462457142466068,0.0420724669717854,0.0473514971464108,0.0338053653673936,0.0461977518283907,0.0420878752542369,0.0335741006056208,0.186513406945709,0.17147089212968,0.186491802161937,0.1714465294571,"sim","classical","t",3,1000,1000,314
